Artist,Title,Lyrics,track_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Justin Bieber,Overboard,jessica jarrell it feels like we've been out at sea oh so back and forth that's how it seems oh and when i wanna talk you say to me that if it's meant to be it will be woah  pre jessica jarrell so crazy is this thing we call love and now that we've got it we just can't give up i'm reaching out for you got me out here in the water and i   justin bieber i'm overboard and i need your love to pull me up i can't swim on my own it's too much feels like i'm drowning without your love so throw yourself out to me my lifesaver life saver oh life saver oh my life saver life saver oh life saver oh whoa   justin bieber i never understood you when you'd say oh you wanted me to meet you halfway woah i felt like i was doing my part you kept thinking you were coming up short it's funny how things change cause now i see oh  pre justin bieber so crazy is this thing we call love and now that we've got it we just can't give up i'm reaching out for ya got me out here in the water and i   justin bieber i'm overboard and i need your love to pull me up i can't swim on my own it's too much feels like i'm drowning without your love so throw yourself out to me my lifesaver   justin bieber  jessica jarrell oh it's supposed to be some give and take i know but you're only taking and not giving anymore so what do i do cause i still love you and you're the only one who can save me woah woah woah   justin bieber  jessica jarrell i'm overboard and i need your love to pull me up i can't swim on my own it's too much feels like i'm drowning without your love so throw yourself out to me my lifesaver life saver oh life saver oh my life saver life saver oh life saver oh whoa life saver oh life saver oh my life saver life saver oh life saver oh yeah,0NZJG1tdCFfzSWKC5WqHa8,58,150073,True,0.756,0.533,11,-8.303,1,0.0416,0.24,0.0,0.111,0.636,101.998,4,sad
Ed Sheeran,Wonderwall,today is gonna be the day that they're gonna give it back to you by now you should've somehow realized what you gotta do i don't believe that anybody feels the way i do about you now  backbeat the word is on the street that the fire in your heart is out and i'm sure you've heard it all before but you never really had a doubt i don't believe that anybody feels the way i do about you now  and all the roads we have to walk are winding and all the lights that lead the way are blinding there are many things that i would like to say to you but i don't know how  i said maybe you're gonna be the one that saves me and after all you're my wonderwall  today was gonna be the day but they'll never bring it back to you by now you should've somehow realized what you gotta do i don't believe that anybody feels the way i do about you now  and all the roads we have to walk are winding and all the lights that lead the way are blinding there are many things that i would like to say to you but i don't know how  i said maybe you're gonna be the one that saves me you're could have be the one that saves me and after all you're my wonderwall you're my wonderwall you're my wonderwall you're my wonderwall,4sigEqg7SMeZsn8haXoloU,63,246169,False,0.7,0.705,5,-6.026,1,0.0414,0.148,0.0343,0.161,0.521,99.97,4,french
Drake,Controlla,drake right my yiy just changed you just buzzed the front gate i thank god you came how many more days could i wait i made plans with you and i won't let 'em fall through i i i i i   drake i think i'd lie for you i think i'd die for you jodeci cry for you do things when you want me to like controlla controlla yeah like controlla controlla yeah   drake okay you like it when i get aggressive tell you to go slower go faster like controlla controlla yeah like controlla controlla yeah   drake and im never on a waste ting shawty i do it how you say you want it them girls they just wanna take my money they don't want me to give you nothing they don't want you to have nothing they don't wanna see me find your lovin' they don't wanna see me smiling back when they pree   drake knowing i'd lie for you thinking i'd die for you jodeci cry for you do things when you want me to like controlla controlla yeah like controlla controlla yeah  break beenie man gyal a tear off mi garments and a bawl fi come inna mi apartment woi di gyal dem want di length and strength action speak louder than argument well   drake but you can't just diss and come tell man sorry you can't listen to me talk and go tell my story nah it don't work like that when you love somebody my old flex is my new flex now and we're workin' on it yeah and that's why i need all the energy that you bring to me my last girl would tear me apart but she'd never wanna split a ting with me   drake but when it comes to you you i think i'd lie for you i think i'd die for you do things when you want me to like controlla controlla yeah like controlla controlla yeah   drake and im never on a waste ting shawty i do it how you say you want it them girls they just wanna take my money they don't want me to give you nothing they don't want you to have nothing they don't wanna see me find your lovin' they don't wanna see me smiling back when they pree jheeze   beenie man music a drop gyal a whine up dem bumpa dis is di summa summa controlla drake from canada beenie man from jamaica dah one yah a murdazagga,1FlY15vdP570PJucy6JdYm,67,108000,False,0.788,0.446,6,-9.812,1,0.0693,0.545,0.694,0.273,0.545,80.009,4,chill
Ariana Grande,Love The Way You Lie,on the first page of our story the future seemed so bright then this thing turned out so evil don't know why i'm still surprised even angels have their wicked schemes and you take that to new extremes but you'll always be my hero even though you've lost your mind   just gonna stand there and watch me burn but that's all right because i like the way it hurts just gonna stand there and hear me cry but that's all right because i love the way you lie i love the way you lie oh i love the way you lie ohh yeah   now there's gravel in our voices glass is shattered from the fight in this tug of war you'll always win even when i'm right cause you feed me fables from your hands with violent words and empty threats and it's sick that all these battles are what keeps me satisfied   just gonna stand there and watch me burn but that's all right because i like the way it hurts just gonna stand there and hear me cry but that's all right because i love the way you lie i love the way you lie oh i love the way you lie   so maybe i'm a masochist i try to run but i don't wanna ever leave till these walls are going up in smoke with all our memories   just gonna stand there and watch me burn but that's all right because i like the way it hurts just gonna stand there and hear me cry but that's all right because i love the way you lie i love the way you lie oh i love the way you lie,15JINEqzVMv3SvJTAXAKED,83,263373,True,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4,hip-hop
BTS (),Respect,  respect    rm rerererespect should i go or should i should i should i go or should i stay   rm suga put yourhandsin the air putyour hands in the air just likeyou dont care just like you dont care ayo suga   respect              brother                  huh   respect           but            ayy ayy                      huh  refrain  suga  rm      yeah     yeah           suga  rm respect   respect   respect   respect one time respect two times respect     respect    respect   respect one time respect oh yeah   suga respect          respect   respect                                  respect   respect       respect   respect       refrain  suga  rm respect respect       respect respect      respect respect     respect respect    yeah   suga  rm respect   respect   respect   respect one time respect two times respect     respect    respect   respect one time respect oh yeah   respect respect respect                                    ,2yKBnKOmPXePrbHqRv42r4,64,237540,False,0.661,0.838,0,-4.806,1,0.116,0.00491,0.0,0.287,0.526,91.463,4,k-pop
BTS (),Her, her   the world is a complex we was lookin' for love                but i found myself the whole new myself                      damn                          god i swore to myself so many complex but i'm lookin' for love                 wonder wonder   answer answer i call you her her 'cause you're my tear tear   wonder wonder   answer answer i call you her her 'cause you're my tear tear                                     make up to wake up and dress up to mask on                                                    wonder wonder   answer answer i call you her her 'cause you're my tear tear   wonder wonder   answer answer i call you her her 'cause you're my tear tear  yeah   mask on    her            mask off lost star           ye            tick tock the dark is over                                                   you woke me up    wonder wonder   answer answer i call you her her 'cause you're my tear tear   wonder wonder   answer answer i call you her her 'cause you're my tear tear,2koESjC2WBc6qmfg0dmTRt,58,123219,False,0.665,0.394,11,-11.567,0,0.103,0.813,0.0414,0.185,0.499,82.067,4,chill
Ben Howard,Keep Your Head Up," I spent my time watchin' The spaces that have grown between us And I cut my mind on second best Or the scars that come with the greenness  And I gave my eyes to the bottom Still the seabed wouldn't let me in And I tried my best To embrace the darkness in which I swim   I'm walkin' back down this mountain With the strength of a turnin' tide Oh the wind's so soft and my skin And the sun so hard upon my side  Oh lookin' out at this happiness I search for between the sheets Oh, feelin' blind and realize All I was searchin' for was me  Oh, oh-oh, all I was searchin' for was me...   Keep your head up, keep your heart strong No, no, no, no Keep your mind set, keep your hair long Oh my, my darlin'  Keep your head up, keep your heart strong No, no, no, no Keep your mind set in your ways And keep your heart strong   I saw a friend of mine the other day And he told me that my eyes were gleamin' Oh, I said I had been away And he knew, oh, he knew the depths I was meanin'  And it felt so good to see his face All the comfort invested in my soul Oh, to feel the warmth of a smile When he said, I'm happy to have you home  Oh, oh-oh, I'm happy to have you home   Keep your head up, keep your heart strong No, no, no, no Keep your mind set, keep your hair long Oh my, my darlin'  Keep your head up, keep your heart strong No, no, no, no Keep your mind set in your ways And keep your heart strong   'Cause I'll always remember you the same Oh, eyes like wild flowers, oh, with your demons of change...   (Keep your head up, keep your heart strong) May you find happiness there (Keep your head up, keep your heart strong) (Keep your head up, keep your heart strong) May all your hopes all turn out right (Keep your head up, keep your heart strong)   Keep your head up, keep your heart strong No, no, no, no (Keep your head up, keep your heart strong) Keep your mind set, keep your hair long (Keep your head up, keep your heart strong) Oh my, my darlin'  Keep your head up, keep your heart strong No, no, no, no Keep your mind set in your ways And keep your heart strong   'Cause I'll always remember you the same Oh, eyes like wild flowers, oh, with your demons of change",5fpEDGQX0Ah3utGnFYulQZ,67,264546,False,0.508,0.596,4,-9.034,0,0.0334,0.439,9.84e-06,0.111,0.4,79.359,4,british
Cardi B,Back It Up,konshens cardi b  hoodcelebrityy yeah cardi aw yeah hoodcelebrityy  pre konshens hey gyal beg you listen to my offer yuh body me a beg a likkle wine offer this a nuh sum'n for your smile after me guarantee it a go bun yuh like lava   konshens back it up for me back it up for me girl back it up for me back it up for me   cardi b back it up i'm sittin' while me back it up so me jack it up sit down pon di cocky suh him wah his cocky suck so me take me tongue and plap it up suck 'til cocky bruk em seh gyal how you suh sloppy suh bwoy you a deal wid di realest and when me a cum you gon' feel it give you the best fuckin' of yuh life the way me back it up me swear you naa go leave tonight hey boy watch how me a go put pah yuh the way me deal wid it dem call me cumy master dah pussy tight so yuh cum faster and when me done wid you you a go need wata   konshens back it up for me back it up for me girl back it up for me back it up for me   konshens gyal mek it clap fi di don back it up pon me me have di cash inna hand pussy a buss out a di damn piece a thong so me love when gyal grab the mic sing a song that's right yuh titty dem a buss out a yuh dress like the strippers dem a wah yuh dress like dem gyal deh me love dem have the best vibe me woulda fuck yuh 'til death and fuck yuh inna the next life  pre konshens hey gyal beg you listen to my offer yuh body me a beg a likkle wine offer this a nuh sum'n for your smile after me guarantee it a go bun yuh like lava   konshens back it up for me back it up for me girl back it up for me back it up for me   hoodcelebrityy yuh say yuh love it how me back it up pussy fat print out me nuh affi pack it up position look round a back how you a mash it up pussy nice and firm it get the cocky tough wooii yuh say me bad yuh need a wine afta and the pussy yah sumn you'd a die afta give it to you one time you woulda cry afta but me nuh waa nuh watchman weh come fi spy afta wooii  pre konshens hey gyal beg you listen to my offer yuh body me a beg a likkle wine offer this a nuh sum'n for your smile after me guarantee it a go bun yuh like lava   konshens back it up for me back it up for me girl back it up for me back it up for me,2bYLIwEato0rHsfT6S9IAY,27,201600,False,0.925,0.691,1,-5.435,1,0.124,0.486,0.0,0.296,0.793,100.018,4,dancehall
Coldplay,Christmas Lights,christmas night another fight tears we cried a flood got all kinds of poison in of poison in my blood i took my feet to oxford street tryna right a wrong just walk away those windows say but i can't believe she's gone  refrain when you're still waiting for the snow to fall doesn't really feel like christmas at all   up above candles on air flicker oh they flicker and they float but i'm up here holding on to all those chandeliers of hope like some drunken elvis singing i go singing out of tune saying how i always loved you darling and i always will  refrain oh when you're still waiting for the snow to fall doesn't really feel like christmas at all still waiting for the snow to fall it doesn't really feel like christmas at all    those christmas lights light up the street down where the sea and city meet may all your troubles soon be gone oh christmas lights keep shining on    those christmas lights light up the street maybe they'll bring her back to me then all my troubles will be gone oh christmas lights keep shining on   ohohohoh ohohohoh    oh christmas lights light up the street light up the fireworks in me may all your troubles soon be gone those christmas lights keep shining on,6iH0uLBUSL8vcyiL8W9cRe,1,242495,False,0.315,0.418,7,-9.146,1,0.0299,0.131,0.000679,0.0836,0.237,129.116,4,pop
Selena Gomez,Love Me Tomorrow,lyrics will be available upon release stay tuned,3hmvOKuezxt23DpfqalTb0,35,253333,False,0.677,0.755,9,-5.427,0,0.0352,0.282,0.544,0.0733,0.282,126.017,4,club
Drake,Legend,produced by partynextdoor   yeah  pre when i pull up on a nigga tell that nigga back back i'm too good with these words watch a nigga backtrack if i die all i know is i'm a mothafuckin' legend it's too late for my city i'm the youngest nigga reppin'   oh my god oh my god if i die i'm a legend oh my god oh my god if i die i'm a legend   i'm up first i'm on tour got a girl she from the south used to work used to dance in texas now she clean the house everyday i was strugglin' to learn what life's about on my way money taught me spanish make it andale way up north packed in honda cars they don't know who we are fuck 'em all they only pussy niggas shootin' at the star right or wrong i'ma write my wrongs they can't live this long you don't know where you're gonna go i got this shit mapped out strong  pre when i pull up on a nigga tell that nigga back back i'm too good with these words watch a nigga backtrack all i know if i die i'm a mothafuckin' legend it's too late for my city i'm the youngest nigga reppin'   oh my god oh my god if i die i'm a legend oh my god oh my god if i die i'm a legend   i'm the one one why do i feel like the only one why do i feel like you owe me one 6 god i'm the holy one yeah you know wassup yeah they been off for a minute now you know they all sentimental now you know they all actin' different now and i i just can't pretend seen too much it's so hard for me to let new people in i can't change this shit set in stone they can't live this long you don't know where you're gonna go i got this shit mapped out strong  pre when i pull up on a nigga tell that nigga back back i'm too good with these words watch a nigga backtrack all i know if i die i'm a mothafuckin' legend it's too late for my city i'm the youngest nigga reppin'   oh my god oh my god if i die i'm a legend oh my god oh my god if i die i'm a legend   i'm the one,3SWqGa1J0M7hSBUDM0KePD,71,189120,False,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,4,alt-rock
Taylor Swift,Angelina,angelinas got a pretty face and really long brown hair lives somewhere in some wide open space ive never been there i guess some people come around and purpose she but i dont cause   i have always been a bit reckless and i am not your typical princess im fine just a bit of a mess and im not perfect you could say i wasnt brought up that way  just watched stephen run across the field watched him catch the ball hes got everything youd wanna be hes funny dark and tall watch him run across to angelina but i wont cause   i have always been a bit reckless and i am not your typical princess im fine just a bit of a mess and im not perfect you could say i wasnt brought up that way  stardom pushed across the line tripped over my two feet hey oh yeah but aint it funny how it all comes out isnt life sweet  i have always been a bit reckless and i am not your typical princess im fine just a bit of a mess and im not perfect you could say   i have always been a bit reckless and i am not your typical princess im fine just a bit of a mess and im not perfect you could say i wasnt brought up that way,3d8oIEIdoU2ZWVmiGvdGCE,44,218973,False,0.591,0.145,9,-18.428,1,0.0343,0.928,0.523,0.108,0.265,127.261,4,bluegrass
Cardi B,I Do,mmmmurda   sza left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what i like i do i do i do what i like i do i do i do what i like i do i do   cardi b i think us bad bitches is a gift from god gift from god i think you broke hoes need to get a job get a job now i'm a boss i write my own name on the checks cardi pussy so good i say my own name during sex i might smack a bitch 'cause i felt like it gucci shoes and a belt like it said that cardi is his favorite fragrance i'm a rich bitch and i smell like it i'm in a boss bitch mood ayy these heels are givenchy ho these are some boss bitch shoes if you ain't no boss bitch move ayy for the record i set record record sales i like niggas that been in and outta jail they said by now that i'll be finished hard to tell i can tell my little fifteen minutes lasting long as hell huh   sza left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what i like i do i do i do what i like i do i do i do what i like i do i do   cardi b look broke hoes do what they can can good girls do what they told told bad bitches do what they want they want that's why a bitch is so cold i'm a gangsta in a dress i'm a bully in the bed only time that i'm a lady's when i lay these hoes to rest the coupe is roofless but i get top in it i'm provocative it's my prerogative 80k just to know what time is it cardi rockin' it go buy stock in it spend what i want ain't no limit i say what i want i ain't never been timid only real shit comes out my mouth and only real niggas go in it leave his texts on read leave his balls on blue put it on airplane mode so none of those calls come through here's a word to my ladies don't you give these niggas none give 'em none if they can't make you richer they can't make you cum egh   sza i left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what i like i do i do i do what i like i do i do i do what i like i do i do,4mx87tH7mQjaTZSjxCHdi3,0,210663,False,0.509,0.761,7,-5.947,0,0.0441,0.122,0.0,0.137,0.71,176.054,4,country
Beyonc,Ego,aw baby how you doin' you know i'm gonna cut right to the chase huh some women were made but me myself i like to think that i was created for a special purpose and uh what's more special than you you feel me   it's on baby let's get lost you don't need to call in to work 'cause you're the boss for real want you to show me how you feel i consider myself lucky that's a big deal why well you got the key to my heart but you ain't gonna need it i'd rather you open up my body and show me secrets you didn't know was inside no need for me to lie   it's too big big it's too wide wide it's too strong strong it won't fit fit it's too much much it's too tough tough he talk like this 'cause he can back it up he got a big ego such a huge ego i love his big ego it's too much he walk like this 'cause he can back it up   usually i'm humble right now i don't choose you can leave with me or you could have the blues some call it arrogant i call it confident you decide when you find out what i'm working with damn i know i'm killing you with them legs better yet them thighs matter of fact it's my smile or maybe my eyes boy you a sight to see kinda something like me   it's too big big it's too wide wide it's too strong strong it won't fit fit it's too much much it's too tough tough i talk like this 'cause i can back it up i got a big ego such a huge ego but he loves my big ego it's too much i walk like this 'cause i can back it up  hook i i walk like this 'cause i can back it up i i talk like this 'cause i can back it up i i i can back it up i can back it up i walk like this 'cause i can back it up   it's too big big it's too wide wide it's too strong strong it won't fit fit it's too much much it's too tough tough he talk like this 'cause he can back it up he got a big ego such a huge ego such a huge ego but i love his big ego it's too much he walk like this 'cause he can back it up   ego so big you must admit i got every reason to feel like i'm that bitch ego so strong you ain't know i don't need no beat i can sing it with piano whoa whoa whoa whoa whoa woahohohoh woahwoahwoah woahwoahwoah woahwoah woahwoah woo   oh ohohoh oh ohohoh oh ohohoh oh ohohoh,5NRNaKM0jU1RQQ9C2l4SCZ,50,256413,False,0.748,0.752,5,-6.828,0,0.0705,0.0185,5.41e-06,0.118,0.73,86.005,4,french
Ariana Grande,positions,heaven sent you to me i'm just hopin i don't repeat history  pre boy i'm tryna meet your mama on a sunday then make a lotta love on a monday ah ah never need no no no one else babe cause i'll be   switchin' them positions for you cookin' in the kitchen and i'm in the bedroom i'm in the olympics way i'm jumpin' through hoops know my love infinite nothin i wouldnt do that i won't do switchin for you   perfect perfect you're too good to be true you're too good to be true but i get tired of runnin' fuck it now im runnin' with you with you  pre said boy i'm tryna meet your mama on a sunday then make a lotta love on a monday ah ah never need no no no on else babe 'caus i'll be   switchin' them positions for you cookin' in the kitchen and i'm in the bedroom i'm in the olympics way i'm jumpin' through hoops know my love infinite nothin' i wouldn't do that i won't do switchin' for you cookin' in the kitchen and i'm in the bedroom i'm in the olympics way i'm jumpin' through hoops know my love infinite nothin' i wouldn't do nothin' that i won't do switchin' for you   this some shit that i usually don't do yeah but for you i kinda kinda want to mmm 'cause you're down for me and i'm down too and i'm down too yeah i'm down too switchin' the positions for you this some shit that i yeah usually don't do don't do but for you i kinda kinda want to mmm 'cause you're down for me and i'm down too 'cause you're down for me   switchin' them positions for you cookin' in the kitchen and i'm in the bedroom i'm in the olympics way i'm jumpin' through hoops jumpin' jumpin' know my love infinite nothin' i wouldn't do that i won't do switchin' for you ooh woah cookin' in the kitchen and i'm in the bedroom i'm in the olympics way i'm jumpin' through hoops know my love infinite nothin' i wouldn't do i wouldn't do that i won't do switchin' for you   yeah ah yeah ah ah yeah,35mvY5S1H3J2QZyna3TFe0,85,172324,True,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,dance
Katy Perry,Damn,we woke up late said goodbye now i'm standing outside on the street i walk through the city i'm laughing in case staring down at my feet if i look up the sky might fall open up and pull me in i feel like an angel who's fallen but i just got to have the taste of original sin   damn can you feel it damn i can't believe it damn you got me feeling good damn do you dig it that's the way you do it damn you know you give it good   two minutes later i'm counting the seconds and hours to go working a sweat out of bed just the thought of you is making me glow i got the fact that you get it good now back up and just leave it alone i'm walking on air cuz your crunk now i'm going home to do it all again on my own     you got my tongue it's so tied my eyes are open wide and my hair is standing up on my skin and i keep saying  damn do you dig it that's the way you do it damn you know you give it good  4 walk through the door and enter your room cause this whole world lies but you tell the truth do you think i'm gonna give you up you never gonna let me down your love is like an ocean and i'm starting to drown  5 you got my tongue it's so tied my eyes are open wide and my hair is standing up on my skin and i keep saying  damn do you dig it that's the way you do it damn you know you give it good   damn i can't believe it i can't believe it ooh you got me feeling good good good,5SfNRmPGCTyhfTOmIPgt49,37,177000,True,0.566,0.948,7,-2.962,1,0.145,0.000163,0.515,0.549,0.204,99.977,4,club
Hozier,Say My Name," Any other day, I would call, you would say Baby, how's your day? But today, it ain't the same Every other word is uh-huh. yeah ok Could it be that you are at the crib with another lady? If you took it there, first of all, let me say That I am not the one to sit around, and be played So prove yourself to me, I'm the girl that you claim Why don't you say the things that you said to me yesterday?   And I know you say that I am assuming things (Something's going down that's the way it seems) Shouldn't be the reason that you're acting strange (Nobody's holding you back from me) I know how you usually do (Saying everything to me times two) Why don't you just tell the truth? (Somebody's there then tell me who)   Say my name, say my name If no one is around you Say baby I love you If you ain't runnin' game Say my name, say my name You actin' kinda shady You ain't callin' me baby Why the sudden change? Say my name, say my name If no one is around you Say baby I love you If you ain't runnin' game Say my name, say my name You actin' kinda shady Ain't callin' me baby Why the sudden change?   What is up with this? Tell the truth, who you with? How would you like it if I came over with my clique? Don't try to change it now, saying you gotta bounce When two seconds ago, you said you just got in the house   And I know you say that I am assuming things (Something's going down that's the way it seems) Shouldn't be the reason that you're acting strange (Nobody's holding you back from me) I know how you usually do (Saying everything to me times two) Why don't you just tell the truth? (Somebody's there then tell me who)   Say my name, say my name When no one is around you Say baby I love you If you ain't runnin' game Say my name, say my name You actin' kinda shady You ain't callin' me baby Why the sudden change? Say my name, say my name If no one is around you Say baby I love you If you ain't runnin' game Say my name, say my name You actin' kinda shady Ain't callin' me baby Why the sudden change?   Say my name Say my name (Yeah, yeah, yeah, yeah) (Yeah, yeah, yeah, yeah) Say my name (Yeah, yeah, yeah, yeah) (Yeah, yeah, yeah, yeah) Say my name (Yeah, yeah, yeah, yeah) (Yeah, yeah, yeah, yeah) When no one is around you Say baby I love you (Say my name) Say my name, say my name (Yeah, yeah, yeah, yeah) (Yeah, yeah, yeah, yeah) You actin' kinda shady You ain't callin' me baby (Say my name) Why the sudden change?   Say my name, say my name No one is around you Say baby I love you (Say my name) If you ain't runnin' game Say my name, say my name You actin' kinda shady You ain't callin' me baby (Say my name) Why the sudden change? No one is around you Say baby I love you (Say my name) Say my name, say my name You actin' kinda shady You ain't callin' me baby (Say my name) Why the sudden change? Say my name, say my name No one is around you Say baby I love you (Say my name) If you ain't runnin' game Say my name, say my name You actin' kinda shady You ain't callin' me baby (Say my name) Honey, say my name",0LdrgIn0po8wRxpv2USlys,0,198946,False,0.703,0.66,10,-5.119,0,0.123,0.137,0.0,0.192,0.79,95.033,4,dance
Nicki Minaj,Heartstrings,lyrics are tba,6Qv3OWGNixqEobRC5vM0Bp,63,211359,False,0.614,0.762,1,-5.146,1,0.0481,0.00106,1.5e-06,0.0545,0.255,124.902,4,deep-house
Ed Sheeran,She," I paid all my dues And she wanted to know That Id never leave her But now Im ready to go And strange as it seems Shes endless to me Shes just like paperwork But harder to read   Patience's my enemy And lovings my friend Its harder to leave with my heart on my sleeve Than to stay and just pretend Oh, she knows me so well Oh, she knows me like I know myself   I made all my plans And as she has made hers She kept me in mind But I wasnt sure I searched every room For a way to escape But every time I tried to leave She keeps holding on to me for dear life And blocking my way   Patience's my enemy And lovings my friend Its harder to leave with my heart on my sleeve Than to stay and just pretend Oh, she knows me so well Oh, she knows me like I know myself   And like the back of her hand She already understands everything Wont you stay? She says And she already knows how it goes And where she stands Ill stay, anyway Cause she knows me so well Oh, she knows me like I know myself Oh, she knows me so well Oh, she knows me like I know myself I know myself Oh, she knows me like I know myself I know myself I know myself I know myself",26D0cJCvW1pWwl89qAhmHg,40,245821,False,0.588,0.917,1,-4.673,1,0.0359,0.102,0.844,0.354,0.327,124.01,4,club
Drake,In My Feelings,drake trap trapmoneybenny this shit got me in my feelings gotta be real with it yeah   drake kiki do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always kb do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always  drake look the new me is really still the real me i swear you gotta feel me before they try and kill me they gotta make some choices they runnin' out of options 'cause i've been goin' off and they don't know when it's stoppin' and when you get to toppin' i see that you've been learnin' and when you get to shoppin' you spend it like you earned it and when you popped off on your ex he deserved it i thought you were the one from the jump that confirmed it trapmoneybenny i buy you champagne but you love some henny from the block like you jenny i know you special girl 'cause i know too many   drake 'resha do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always jt do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always  interlude jt yung miami drake  magnolia shorty two bad bitches and we kissin' in the wraith kissin'kissin' in the wraith kisskissin' in the wraith i need that black card and the code to the safe code to the safe codecode to the safesafe i show him how that neck work fuck that netflix and chillwhat's your netnetnet worth 'cause i want ya and i need ya and i'm down for you always yeah yeah yeah yeah he bad and i'm down for you always yeah yeah yeah guess who's back and i'm down for you always ddown for you al black biggy biggy black biggy black blake dddown for you always i got a new boy and that nigga trade   drake kiki do you love me are you riding say you'll never ever leave from beside me 'cause i want you and i need you and i'm down for you always kb do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i  breakdown lil wayne  magnolia shorty skate and smoke and rap now let me see you bring that ass bring that ass bring that ass back bbring that ass bring that ass bring that ass back shawty say the nigga that she with can't hit but shawty i'ma hit it hit it like i can't miss now let me see you clap that ass you're the only one i love clap that ass clapclap that ass bring that ass back clapclapclap that ass you're the only one i love let's go let's go let's go bring that ass back   drake trap trapmoneybenny this shit got me in my feelings gotta be real with it yup blaqnmild you a genius you diggin' me  skit zazie beetz i don't even care i need a photo with drake because my instagram is weak as fuck i'm just being real my shit look,5I1rnFqgXYR7ydIcaPCZI1,8,179093,False,0.79,0.673,2,-7.367,1,0.289,0.0116,0.0,0.0895,0.572,181.98,4,kids
Selena Gomez,Souvenir,chills   new york back in august tenth floor balcony smoke is floating over jane and greenwich street goosebumpsfromyour wild eyeswhen they're watching me shivers dance downmy spine head down to my feet  pre swimming in your eyes in your eyes in your eyes egyptian blue something i've never had without you   you're giving me chills at a hundred degrees it's better than pills how you put me to sleep calling your name the only language i can speak taking my breath a souvenir that you can keep  post giving me chills chills   sunset tower lobby waiting there for me in the elevator fumble for your key kissed in every corner presidential suite opened that bordeaux from 99  pre swimming in your eyes in your eyes in your eyes egyptian blue something i've never had without you   you're giving me chills at a hundred degrees it's better than pills how you put me to sleep calling your name the only language i can speak taking my breath a souvenir that you can keep  post giving me chills   take my taketake my breath away just like take my breath away just like a souvenir take my taketake my breath away just like take my breath away just like a souvenir   you're giving me chills at a hundred degrees a hundred it's better than pills how you put me to sleep puts me yeah calling your name the only language i can speak taking my breath a souvenir that you can keep   giving me chills take my taketake my breath away just like you're giving me chills take my breath away just like a souvenir giving me chills take my taketake my breath away just like you're giving me chills take my breath away just like a souvenir,21JL0gpeAYgbSUmzhgSPJz,60,212467,False,0.605,0.299,6,-11.192,0,0.0264,0.751,0.474,0.0943,0.181,109.008,4,ambient
Selena Gomez,Boyfriend,i want a boyfriend but i just keep hitting dead ends try to take a shortcut butiget cut againand again i want a boyfriend tell meare there any good ones left i keep finding wrong ones but i want love again and again i want a boyfriend   i been up all night pretty restlessly think i might know why ah i've been doing just fine but baby that don't mean that i'm feeling anti you and me  pre there's a difference between a want and a need some nights i just want more than me i know that there's a fine line between it's not what i need but yeah   i want a boyfriend but i just keep hitting dead ends try to take a shortcut but i get cut again and again yeah i want a boyfriend uhhuh tell me are there any good ones left i keep finding wrong ones but i want love again and again yeah  post i want a boyfriend i want a boyfriend   i could phone a friend use a hotline or something but that won't get the job done uhuh 'cause every time i try yeah yeah yeah every time they lie uh oohhoo i get a little anti you and me  pre there's a difference between a want and a need some nights i just want more than me i know that there's a fine line between it's not what i need but oohhoo   i want a boyfriend but i just keep hitting dead ends try to take a shortcut but i get cut again and again yeah ooh i want a boyfriend uhhuh tell me are there any good ones left i keep finding wrong ones but i want love again and again   i want a boyfriend ah ayy yeah i want a boyfriend ah i try to i want a ah yeah i want a boyfriend ah yeah i want a,2WKBEpRgLDXonyicWfyzdh,0,225266,False,0.799,0.847,11,-3.022,0,0.0541,0.0597,0.0,0.044,0.678,99.99,4,edm
Ariana Grande,Far Away,released in 09,0ADZ5dmXhlfzjMw6lefoPl,73,238173,False,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,4,alt-rock
